"dayRow","date","site","id","five_star","four_star","three_star","two_star","one_star","total","average"
"14",2025-09-27 10:05:27.47952,"University of Michigan Health","KpsBQupvZoyhSqhbsoKcRoIWoyGOTn",882,89,29,9,79,1088,4.54963235294118
"15",2025-09-27 10:05:27.47952,"Mass General Brigham, Inc","4kcfhKoXQpJAPxGuunB9HE3I6q2XmA",1685,280,70,40,60,2135,4.63466042154567
"16",2025-09-27 10:05:27.47952,"Vanderbilt University Medical Center","tfSvk6x8QGgdO9mVfDyhYbY7X0RJfi",1821,120,30,20,140,2131,4.6245893946504
"17",2025-09-27 10:05:27.47952,"Kaiser Permanente","uIX1gib2UKuycBD4NkR8Oet9lSgXRR",104122,12555,3478,1453,4658,126266,4.66339315413492
"18",2025-09-27 10:05:27.47952,"Primary Care On Demand Wis.","cSL5ZoWxf7gPDLHeLFfpCCaxKczUzl",216,41,5,2,29,293,4.40955631399317
"1",2025-09-28 10:05:31.19627,"Mayo Clinic","5I8J53CWPWuWdVB8cXqwXVNUvWfZVy",5817,1137,1024,632,2777,11387,3.57829103363485
"2",2025-09-28 10:05:31.19627,"Cleveland Clinic","2x246cNLgDlsuUBFFsJ2pT7TdyjZEd",481,91,28,14,91,705,4.21560283687943
"3",2025-09-28 10:05:31.19627,"MyMountSinai","DsCGvHoULtP55NDensETgOXonaq87m",2338,174,71,51,184,2818,4.57239176721079
"4",2025-09-28 10:05:31.19627,"MyChart","M5yXX7TNQDDsbG2VBPNZ8oJU0zzNmt",187331,19747,7836,5352,13653,233919,4.54647976436288
"5",2025-09-28 10:05:31.19627,"Johns Hopkins Medicine","ODNdQ6mTNZ30DMZd3kks5wecwJoFUE",8,1,0,0,3,12,3.91666666666667
"6",2025-09-28 10:05:31.19627,"Penn Medicine","xJRpD9NETUgdeEn6CrEfBSsIRSa6tv",897,70,20,10,20,1017,4.78367748279253
"7",2025-09-28 10:05:31.19627,"Cedars-Sinai","nk1vnBSjY6Ky2B3C8lXjVY2HL9Cxhn",1566,228,99,59,238,2190,4.28995433789954
"8",2025-09-28 10:05:31.19627,"Houston Methodist","2dQdp84YXi1g2rTObOLyDsqDLnfIxm",1070,90,10,30,40,1240,4.70967741935484
"9",2025-09-28 10:05:31.19627,"NYU Langone Health","46ZgeoxjcbC3PEAZHdFPECmYjrnfss",4312,467,109,79,258,5225,4.62602870813397
"10",2025-09-28 10:05:31.19627,"Stanford Health Care","jXPMOkrTPvoWa1Z5D53uFoosgd65WY",1893,272,80,10,181,2436,4.51313628899836
"11",2025-09-28 10:05:31.19627,"Northwestern Medicine","phkz1Q3w7i7e2bGXcCa2uaFdsUvHQX",592,150,120,321,1064,2247,2.50378282153983
"12",2025-09-28 10:05:31.19627,"New York - Presbyterian","DHM0YK7Alk06LMyQYUqnCn4Jwmqryx",426,47,18,11,115,617,4.06645056726094
"13",2025-09-28 10:05:31.19627,"Rush University Medical Center","B85p6L4uuIwiY7UKoro5BlInCnUNAJ",2637,431,60,20,90,3238,4.70012353304509
"14",2025-09-28 10:05:31.19627,"University of Michigan Health","3Si67tGsZfDlNIX6WMGoLKC4771nPL",882,89,29,9,79,1088,4.54963235294118
"15",2025-09-28 10:05:31.19627,"Mass General Brigham, Inc","p3iVdkfo7teLTBUQ8sarQBVCFOidTc",1685,280,70,40,60,2135,4.63466042154567
"16",2025-09-28 10:05:31.19627,"Vanderbilt University Medical Center","EmCymXszPPyWOBfxWEbWjgtJ5hBOwu",1831,120,30,20,130,2131,4.64335992491788
"17",2025-09-28 10:05:31.19627,"Kaiser Permanente","tTFIIiAfU8aw3U5jtbw0XTUW7BAxS9",104234,12612,3442,1462,4631,126381,4.6644590563455
"18",2025-09-28 10:05:31.19627,"Primary Care On Demand Wis.","A42ptViD036WYy4fkkTerLVi5kZ3SN",216,41,5,2,29,293,4.40955631399317
"1",2025-09-29 10:06:18.266443,"Mayo Clinic","zsDuGugEamhrBTa0vB9dMvOORF1S3q",5827,1135,1022,632,2772,11388,3.58069898138391
