"dayRow","date","site","id","five_star","four_star","three_star","two_star","one_star","total","average"
"1",2025-09-01 10:06:21.458569,"Mayo Clinic","uvpOGKhQitztJzh5Y7KpQYwLQRVmgP",5764,1192,1043,633,2741,11373,3.58076145256309
"2",2025-09-01 10:06:21.458569,"Cleveland Clinic","JqG7dF7SO3mr7HdDteZaGbbaVsQhdl",482,76,27,27,83,695,4.21870503597122
"3",2025-09-01 10:06:21.458569,"MyMountSinai","dH1v0MMWfbsI4y9eotvtde5PR4yBQz",2289,174,61,71,205,2800,4.52535714285714
"4",2025-09-01 10:06:21.458569,"MyChart","gTTeHY4eYexI0rZj5U3ZoyCG4ZUCmm",185199,19380,7523,5184,13163,230449,4.55465200543287
"5",2025-09-01 10:06:21.458569,"Johns Hopkins Medicine","goRyUAlfNUQiZGD1pjfaNWu7XXd7fn",8,1,0,0,3,12,3.91666666666667
"6",2025-09-01 10:06:21.458569,"Penn Medicine","3sAXMPCnjDTbm2zroO8IZwSc12hLsq",880,70,20,20,20,1010,4.75247524752475
"7",2025-09-01 10:06:21.458569,"Cedars-Sinai","O8zuQVT4RN4ZlOSqaxhyMUocoGImGz",1574,220,110,60,220,2184,4.31318681318681
"8",2025-09-01 10:06:21.458569,"Houston Methodist","jSENb4Wu9AXoRfvNlAL5jjZcbjNXCj",1052,100,10,20,50,1232,4.69155844155844
"9",2025-09-01 10:06:21.458569,"NYU Langone Health","lrptIl56gjRPC9z80Fw5FyWLBX7l1w",4338,419,109,69,229,5164,4.65917893106119
"10",2025-09-01 10:06:21.458569,"Stanford Health Care","vLk5Iv4ugdpF3tb8Rh343Jnx7um0Zu",1885,260,79,9,189,2422,4.50412881915772
"11",2025-09-01 10:06:21.458569,"Northwestern Medicine","2WPwxUMiPWpUV2W261TB1HWWltCuso",611,160,120,330,1011,2232,2.56541218637993
"12",2025-09-01 10:06:21.458569,"New York - Presbyterian","JymlidTpFJYFYIP20Sx0v2YmJ2bJcZ",413,49,24,11,117,614,4.02605863192182
"13",2025-09-01 10:06:21.458569,"Rush University Medical Center","kEh5Vp40AyetjN2CnjE9KbI1qvkKKv",2601,370,100,20,80,3171,4.70040996531063
"14",2025-09-01 10:06:21.458569,"University of Michigan Health","EDcrih0mBiseVp75anHUmmqs320CYA",890,70,30,0,90,1080,4.5462962962963
"15",2025-09-01 10:06:21.458569,"Mass General Brigham, Inc","h5kYc916k81637A5wenVrDIJkMPG1b",1664,260,90,30,70,2114,4.61684011352886
"16",2025-09-01 10:06:21.458569,"Vanderbilt University Medical Center","2P7ixoAa8khn5a9z5QaWepsQ08WwRr",1811,100,30,20,140,2101,4.62874821513565
"17",2025-09-01 10:06:21.458569,"Kaiser Permanente","3CcNTe3D0HIhIbuk7WvFQ7vjAox5hC",101832,12300,3455,1396,4516,123499,4.66427258520312
"18",2025-09-01 10:06:21.458569,"Primary Care On Demand Wis.","tbO3MV5q3QdrXKtyk5FwyRrAApUWIJ",208,37,8,2,16,271,4.54612546125461
"1",2025-09-02 10:06:35.021499,"Mayo Clinic","9AXfGSRhlI5Ie63iZR3VnBWjUai7wh",5772,1190,1041,633,2737,11373,3.5826958586125
"2",2025-09-02 10:06:35.021499,"Cleveland Clinic","NjsybGZrUXCwsVIfpq6vW9SkcXNThn",482,76,27,27,83,695,4.21870503597122
"3",2025-09-02 10:06:35.021499,"MyMountSinai","MqrNBwgz3X28XULraqWh6yyGj4CPC3",2289,174,61,71,205,2800,4.52535714285714
"4",2025-09-02 10:06:35.021499,"MyChart","7H2i0PwWhvDqlj1ABvHxjycYxffzh2",185231,19402,7528,5207,13145,230513,4.55464984621258
"5",2025-09-02 10:06:35.021499,"Johns Hopkins Medicine","xFhdaXrZKbetafGLYqsvTwsCi5jAL1",8,1,0,0,3,12,3.91666666666667
"6",2025-09-02 10:06:35.021499,"Penn Medicine","YQtXzF5yWpx0E1EkvahHWpoL2sieBu",880,70,20,20,20,1010,4.75247524752475
"7",2025-09-02 10:06:35.021499,"Cedars-Sinai","yCsgvkn2O5tJf9YKsETciLOWAmoNj6",1574,220,110,60,220,2184,4.31318681318681
"8",2025-09-02 10:06:35.021499,"Houston Methodist","6Y0fEVZirpBaY0tIJyaz7ivk3eTsBA",1052,100,10,20,50,1232,4.69155844155844
"9",2025-09-02 10:06:35.021499,"NYU Langone Health","MGBINnHHQCpvs6DdK7983S72jH70td",4338,419,109,69,229,5164,4.65917893106119
"10",2025-09-02 10:06:35.021499,"Stanford Health Care","RmPYkELc2g4zDFOBegLrR4lHi1iIrY",1885,260,79,9,189,2422,4.50412881915772
"11",2025-09-02 10:06:35.021499,"Northwestern Medicine","WP2NMQvXnr1XR6u7qTIezeU6lSbb0v",611,160,120,330,1011,2232,2.56541218637993
"12",2025-09-02 10:06:35.021499,"New York - Presbyterian","NEAsbJemvRm0Kr8vLvy2s0LacjQa7m",413,49,24,11,117,614,4.02605863192182
"13",2025-09-02 10:06:35.021499,"Rush University Medical Center","IT4FARgENqlPwRZvUa3x98Oci40Q05",2602,370,100,20,80,3172,4.70050441361917
"14",2025-09-02 10:06:35.021499,"University of Michigan Health","hVCMMaz6X97jofCdx56WEVRidxoA12",890,70,30,0,90,1080,4.5462962962963
"15",2025-09-02 10:06:35.021499,"Mass General Brigham, Inc","mfjfTKb6tLAQRm5vawS6RiRZ76urD1",1664,260,90,30,70,2114,4.61684011352886
"16",2025-09-02 10:06:35.021499,"Vanderbilt University Medical Center","TiYXAYKOIg0XhoZLFpwWwHnPXtoS6Z",1811,100,30,20,140,2101,4.62874821513565
"17",2025-09-02 10:06:35.021499,"Kaiser Permanente","kuRdX10ge4Eros7kRHm3nAot8sXev9",101912,12276,3451,1403,4517,123559,4.66449226685227
"18",2025-09-02 10:06:35.021499,"Primary Care On Demand Wis.","Sv3kcPdgFfKmH5mEPmCktCQf80DlUZ",204,38,8,2,19,271,4.49815498154982
"1",2025-09-03 10:06:31.278924,"Mayo Clinic","PCssE56Fmhu10iySwqzifLJ9MO3AMe",5772,1190,1041,633,2737,11373,3.5826958586125
"2",2025-09-03 10:06:31.278924,"Cleveland Clinic","t6nB3WPcEyAzzu7I9aZtxXO1dgCF1u",482,76,27,27,83,695,4.21870503597122
"3",2025-09-03 10:06:31.278924,"MyMountSinai","wgx9NlK7qDQl36q7AidX6SsSvmyTjx",2290,174,61,71,205,2801,4.5255265976437
"4",2025-09-03 10:06:31.278924,"MyChart","hyBzcmdJh91jsqykzaNZrOyKd7s99c",185511,19257,7532,5168,13144,230612,4.5559597939396
"5",2025-09-03 10:06:31.278924,"Johns Hopkins Medicine","IktPz7Ax1RUXYQkgW8HN7VZTz6VgZf",8,1,0,0,3,12,3.91666666666667
"6",2025-09-03 10:06:31.278924,"Penn Medicine","H9rrlocWj85Y2Cd2k09JSm3mlBEjpA",880,70,20,20,20,1010,4.75247524752475
"7",2025-09-03 10:06:31.278924,"Cedars-Sinai","1FK2p8Dnh9FJ4cDQVg806U9uSqsKdg",1568,229,109,59,219,2184,4.31318681318681
"8",2025-09-03 10:06:31.278924,"Houston Methodist","PRHG03KiT8XnHysB2BoRUJ8VE0c4bs",1052,100,10,20,50,1232,4.69155844155844
"9",2025-09-03 10:06:31.278924,"NYU Langone Health","iO7vvG62Aqeuj6fysTNvE1jakvNBIK",4347,420,110,70,220,5167,4.66518289142636
"10",2025-09-03 10:06:31.278924,"Stanford Health Care","tm2exHZ41L7P41jDUFVLyilNrX9WnS",1885,260,79,9,189,2422,4.50412881915772
"11",2025-09-03 10:06:31.278924,"Northwestern Medicine","ZXlPBvKVPtBRTUPXWgsWMFanrNwmBn",611,150,130,330,1012,2233,2.5602328705777
"12",2025-09-03 10:06:31.278924,"New York - Presbyterian","a8qZGFovTO4gvouzIbM8JBkWAWIPTF",413,49,24,11,117,614,4.02605863192182
"13",2025-09-03 10:06:31.278924,"Rush University Medical Center","oGx3YDQryjp3Lpj1YuNqjT6jcsnAx3",2606,369,99,19,79,3172,4.70365699873897
"14",2025-09-03 10:06:31.278924,"University of Michigan Health","iMrnSEldlMpSu6Y3p932t2EJQc6R8X",890,70,30,0,90,1080,4.5462962962963
"15",2025-09-03 10:06:31.278924,"Mass General Brigham, Inc","A9soDEJ9xQrTnEaFJ3ik06A7pi8E4Z",1675,260,90,30,60,2115,4.63593380614657
"16",2025-09-03 10:06:31.278924,"Vanderbilt University Medical Center","hrqzuc9249I5NsJ8OZrzLr2RDLfdrD",1814,99,29,19,139,2100,4.63333333333333
"17",2025-09-03 10:06:31.278924,"Kaiser Permanente","62i5OMwdvTtp7aaIiotl35fAyloM2j",102029,12235,3451,1392,4538,123645,4.66464474908003
"18",2025-09-03 10:06:31.278924,"Primary Care On Demand Wis.","3kffxvfPBqJGefgGWEg5BMOytxmSMP",204,38,8,2,19,271,4.49815498154982
"1",2025-09-04 10:07:13.670245,"Mayo Clinic","PCqgzXLTpOikvBu7bo4dV7CBnEgUNV",5783,1192,1043,633,2722,11373,3.58744394618834
"2",2025-09-04 10:07:13.670245,"Cleveland Clinic","fKEXACxgqqbSnsMGmavrIRXzVdjuwV",482,76,27,27,83,695,4.21870503597122
"3",2025-09-04 10:07:13.670245,"MyMountSinai","MDi0O124QalpjxRzCCughmxaagGN5D",2290,174,61,71,205,2801,4.5255265976437
"4",2025-09-04 10:07:13.670245,"MyChart","Bbnq0pdGwFgdcOzZbgnqhsORq3ZJmy",185594,19303,7512,5174,13208,230791,4.55509096975185
"5",2025-09-04 10:07:13.670245,"Johns Hopkins Medicine","v9c1Z5BS4G3Fo3fWnC5EE1wLucOfQB",8,1,0,0,3,12,3.91666666666667
"6",2025-09-04 10:07:13.670245,"Penn Medicine","LCIRtCCgE5x9EyWz1a9xdId6RfV5Tu",880,70,20,20,20,1010,4.75247524752475
"7",2025-09-04 10:07:13.670245,"Cedars-Sinai","9QlvzYkSla5bH02qe2ljf4GJAALJY5",1568,229,109,59,219,2184,4.31318681318681
"8",2025-09-04 10:07:13.670245,"Houston Methodist","aHG7Z9RbSGDdk9IkJX7wPdRXYmxFVG",1052,100,10,20,50,1232,4.69155844155844
"9",2025-09-04 10:07:13.670245,"NYU Langone Health","am0EZgUBz3OqtZ6aKmRiy24XMPK9Q0",4352,418,109,69,219,5167,4.66731178633637
"10",2025-09-04 10:07:13.670245,"Stanford Health Care","VSiy8kjkc9bBOynqy4fJcFSugJfVG1",1885,260,79,9,189,2422,4.50412881915772
"11",2025-09-04 10:07:13.670245,"Northwestern Medicine","CaJBoQ6UFAitCmNn5o9dYX6CufJLlI",612,150,120,330,1022,2234,2.55237242614145
"12",2025-09-04 10:07:13.670245,"New York - Presbyterian","y8HFynRskFNTV775lgSdK8kEa8rXtZ",413,49,24,11,117,614,4.02605863192182
"13",2025-09-04 10:07:13.670245,"Rush University Medical Center","ULECjZfOmp9rWV1S77UfEy7h19WRtD",2630,359,89,19,79,3176,4.71347607052897
"14",2025-09-04 10:07:13.670245,"University of Michigan Health","Zx1JC9AWrl9M4fojSDsN7OgDl5yGKK",883,79,29,0,89,1080,4.54351851851852
"15",2025-09-04 10:07:13.670245,"Mass General Brigham, Inc","iICyNG9WmWIwZ8KJDO13W4NQbqT303",1675,260,90,30,60,2115,4.63593380614657
"16",2025-09-04 10:07:13.670245,"Vanderbilt University Medical Center","Lzniz7SNK3XEnuwPGG6jfc2VgvzPZi",1816,100,30,20,140,2106,4.62962962962963
"17",2025-09-04 10:07:13.670245,"Kaiser Permanente","ZFgEBGGJv0qNQiim9PFTgUQsUcx2e3",102063,12320,3450,1379,4558,123770,4.66398157873475
"18",2025-09-04 10:07:13.670245,"Primary Care On Demand Wis.","naf8CtimEMRO9O4sj7dBokuvdo2KoR",204,38,8,2,19,271,4.49815498154982
"1",2025-09-05 10:06:03.111479,"Mayo Clinic","Q87CFYcsWAtVtj1JLmx6u2WydWwEKZ",5763,1189,1058,631,2733,11374,3.58185334974503
"2",2025-09-05 10:06:03.111479,"Cleveland Clinic","hVPh6RC6FarabW2JzrkQT9z3CnAkqh",482,76,27,27,83,695,4.21870503597122
"3",2025-09-05 10:06:03.111479,"MyMountSinai","gCOKl6zVqRiZGkg7TJ58D1Gqm4btxr",2293,173,60,70,204,2800,4.52892857142857
"4",2025-09-05 10:06:03.111479,"MyChart","YtvjQxzVit9sF3kc1RecGD7RUzikiF",185793,19258,7498,5213,13211,230973,4.55519909253463
"5",2025-09-05 10:06:03.111479,"Johns Hopkins Medicine","gvDNAcZJ4hNtLTNIjiaPYjNxl8cBSz",8,1,0,0,3,12,3.91666666666667
"6",2025-09-05 10:06:03.111479,"Penn Medicine","eYLLSly0Vpe5pFDUjLDiriSXaphj6G",880,70,20,20,20,1010,4.75247524752475
"7",2025-09-05 10:06:03.111479,"Cedars-Sinai","1K9kG1uD60Dqj5yJUOwo7vKmTPoplF",1568,229,109,59,219,2184,4.31318681318681
"8",2025-09-05 10:06:03.111479,"Houston Methodist","mCIl35Lcq2UIf6ej5d4uVzmOCnqVgh",1053,100,10,20,50,1233,4.69180859691809
"9",2025-09-05 10:06:03.111479,"NYU Langone Health","XAVXMivjRSyNWDteIvt1fuIXa7XYMO",4354,418,109,69,219,5169,4.66744051073709
"10",2025-09-05 10:06:03.111479,"Stanford Health Care","wk81SsmgJyOMruMzIi5h9A7zBKRJYG",1891,262,70,10,191,2424,4.50660066006601
"11",2025-09-05 10:06:03.111479,"Northwestern Medicine","SVOpNtsyCio2GAMaVf0v0vJ0VEX5jz",609,149,119,329,1028,2234,2.544315129812
"12",2025-09-05 10:06:03.111479,"New York - Presbyterian","feaUnesmp0MJ95IIoRaMk3JVHUvb3I",413,49,24,11,117,614,4.02605863192182
"13",2025-09-05 10:06:03.111479,"Rush University Medical Center","5DlvoG1eKD2BTph6xaBNExqeuPsjkn",2655,360,80,20,70,3185,4.72998430141287
"14",2025-09-05 10:06:03.111479,"University of Michigan Health","2nZz9KQGCfrwRIHQtz3kbgU9TvS6mL",883,79,29,0,89,1080,4.54351851851852
"15",2025-09-05 10:06:03.111479,"Mass General Brigham, Inc","QRorSI9YC97m7m3Sso61T4PGTvA8xv",1667,260,90,40,60,2117,4.62210675484176
"16",2025-09-05 10:06:03.111479,"Vanderbilt University Medical Center","dSmEtoMiduHYgwPhtVQcY3GJu5OABc",1816,100,30,20,140,2106,4.62962962962963
"17",2025-09-05 10:06:03.111479,"Kaiser Permanente","BnVpqnAP9wiO3kHshka9VEhWXHttNF",102076,12373,3449,1404,4581,123883,4.66252835336568
"18",2025-09-05 10:06:03.111479,"Primary Care On Demand Wis.","ze5iBtvun7hfo1DyreUT0gWgcEFn0M",204,38,8,2,19,271,4.49815498154982
"1",2025-09-06 10:05:00.915534,"Mayo Clinic","bvVXnIVWGK68AJp0FAYhpq4vTHUm5v",5763,1189,1058,631,2733,11374,3.58185334974503
"2",2025-09-06 10:05:00.915534,"Cleveland Clinic","tRA3fL08vnsM0uueWcuzTc7Esl7qUA",482,76,27,27,83,695,4.21870503597122
"3",2025-09-06 10:05:00.915534,"MyMountSinai","ezOEiRjxeX1hdG1bz5nmESsVj2abqG",2293,173,60,70,204,2800,4.52892857142857
"4",2025-09-06 10:05:00.915534,"MyChart","LWc6TSMiK5bh7GoWovVtQEk0qBX1XP",185851,19297,7533,5220,13239,231140,4.55447347927663
"5",2025-09-06 10:05:00.915534,"Johns Hopkins Medicine","fRdS5h5eQ37bt94hKeKrzhCUxfvCzU",8,1,0,0,3,12,3.91666666666667
"6",2025-09-06 10:05:00.915534,"Penn Medicine","KBZMzQgmWInwQ2t1sA4vFQgQ7pRT3E",873,79,19,19,19,1009,4.75222993062438
"7",2025-09-06 10:05:00.915534,"Cedars-Sinai","z9C5nRIQfo12aHw3U1oV6OCZc69Ccx",1568,229,109,59,219,2184,4.31318681318681
"8",2025-09-06 10:05:00.915534,"Houston Methodist","27tHhSFjNQ7wDLQ4hxNNR8erjIjCCi",1053,100,10,20,50,1233,4.69180859691809
"9",2025-09-06 10:05:00.915534,"NYU Langone Health","nNzsNSCRWDzevqJ2X8cG4AN7F1svOU",4346,420,110,70,230,5176,4.6580370942813
"10",2025-09-06 10:05:00.915534,"Stanford Health Care","ItTg3EDuWkAoAZsphuJYaOQcT72lcu",1891,262,70,10,191,2424,4.50660066006601
"11",2025-09-06 10:05:00.915534,"Northwestern Medicine","6t29XdiZsSTJvdJlsl5SguF0FrbAKC",609,149,119,329,1028,2234,2.544315129812
"12",2025-09-06 10:05:00.915534,"New York - Presbyterian","9FgEYEaHZXOArQFmr167vAAAFYYy25",413,49,24,11,117,614,4.02605863192182
"13",2025-09-06 10:05:00.915534,"Rush University Medical Center","QhAY2s3ONMI2D9ZFsubYfzotmD6HAm",2658,361,80,20,70,3189,4.73000940733772
"14",2025-09-06 10:05:00.915534,"University of Michigan Health","nEq7vkyx8ODL9bu5Y0HuAD5dWApWzj",883,79,29,0,89,1080,4.54351851851852
"15",2025-09-06 10:05:00.915534,"Mass General Brigham, Inc","HMIg4AlFfCKalBR4G150D86KUeD0zO",1667,260,90,40,60,2117,4.62210675484176
"16",2025-09-06 10:05:00.915534,"Vanderbilt University Medical Center","QdC4gPvgaFlEuIqVdiZyy4lCiUZEUz",1816,100,30,20,140,2106,4.62962962962963
"17",2025-09-06 10:05:00.915534,"Kaiser Permanente","AqrBTmMGwA9ji1IpIGwmmZtbN8rlo7",102282,12325,3446,1365,4590,124008,4.66395716405393
"18",2025-09-06 10:05:00.915534,"Primary Care On Demand Wis.","067vebSk1SO4AcKVherLF8z4C8c55N",204,38,8,2,19,271,4.49815498154982
"1",2025-09-07 10:05:02.209467,"Mayo Clinic","mLJ2FFLbnRVDMX9SkWF9NnQQYIRv7p",5784,1175,1043,633,2742,11377,3.5824030939615
"2",2025-09-07 10:05:02.209467,"Cleveland Clinic","6ab1824XyrjcVPO85LZk3ZIGX309lP",482,76,27,27,83,695,4.21870503597122
"3",2025-09-07 10:05:02.209467,"MyMountSinai","G6zup9S0QHm9Xyetic4n5fcbkARwyt",2293,173,60,70,204,2800,4.52892857142857
"4",2025-09-07 10:05:02.209467,"MyChart","yJyfNdixQuzQFAsMkUWWiorzO66FBE",186045,19271,7494,5264,13200,231274,4.55528507311674
"5",2025-09-07 10:05:02.209467,"Johns Hopkins Medicine","MkH01UnWAWh0Jp5l3aoGz84syFGXS9",8,1,0,0,3,12,3.91666666666667
"6",2025-09-07 10:05:02.209467,"Penn Medicine","s48yOm24q4sDdiZQuwtaCJy68i2ok1",873,79,19,19,19,1009,4.75222993062438
"7",2025-09-07 10:05:02.209467,"Cedars-Sinai","ekvjTLVlh73nOfSMtfSr8YhzPmV8Bz",1571,228,109,59,218,2185,4.31578947368421
